"lat";"lon";"PLBTS1";"PLBTS2";"PLBTS3";"PLBTS4";"PLBTS5";"PLBTS6";"SqEuclidean1";"SqEuclidean2";"SqEuclidean3";"latM";"longM";"distance";"Point_i";"Point_j"
-8.068961;-34.888599;116.065;131.54000000000002;129.09;125.265;105.515;133.115;"(20,37)";"(100,177)";"(200,354)";-8.068585112564284;-34.889359184074216;0.09357475280644509;200;354
-8.076303;-34.899761;128.99;107.1566666666667;128.5566666666667;130.5566666666667;141.1233333333333;140.59;"(3,13)";"(13,63)";"(26,125)";-8.076400623410473;-34.899747846647024;0.01095448256218596;26;125
-8.072575;-34.896355;108.69;118.14;119.84;107.89;118.39;140.99;"(5,27)";"(23,137)";"(47,276)";-8.07545737210145;-34.89289750510852;0.49774900510234577;47;276
-8.065796;-34.890259;135.615;132.04000000000002;136.89;130.94;109.44;128.765;"(28,35)";"(131,164)";"(262,327)";-8.065800275366216;-34.890584163143366;0.035812088628279934;262;327
-8.072072;-34.892242;109.7566666666667;124.65666666666671;126.99000000000001;105.79;91.39;134.49;"(15,30)";"(70,148)";"(139,295)";-8.07132503303335;-34.892035676626755;0.0861332735306321;139;295
-8.0639;-34.894276;136.39;115.34;126.64;134.84;137.64;120.49000000000001;"(31,26)";"(154,126)";"(308,252)";-8.063734105832166;-34.89398663419714;0.036823446964555216;308;252
-8.070368;-34.896942;106.7233333333333;116.1233333333333;120.5566666666667;103.2233333333333;117.7566666666667;121.89;"(11,21)";"(52,105)";"(104,210)";-8.072897118548388;-34.89589176013955;0.3041526667428666;104;210
-8.061922;-34.901936;133.29000000000002;119.4233333333333;130.89;127.65666666666671;127.59;128.25666666666672;"(36,8)";"(177,37)";"(354,73)";-8.061667936298116;-34.902107034611205;0.03396064122706669;354;73
-8.067011;-34.894444;125.59;122.99000000000001;125.19;125.39;123.49000000000001;105.04;"(27,26)";"(135,128)";"(269,256)";-8.065485858263209;-34.89380512289765;0.18364762163259438;269;256
-8.071855;-34.890694;106.19;122.49000000000001;122.7233333333333;109.3233333333333;97.1233333333333;135.85666666666668;"(15,30)";"(71,148)";"(144,296)";-8.071100449388345;-34.89199031795492;0.16559872325768046;144;296
-8.076415;-34.895992;120.74000000000001;103.89;132.515;118.29;129.74;138.815;"(3,21)";"(13,104)";"(26,208)";-8.076400623410473;-34.89598241107837;0.0019162554036255166;26;208
-8.061624;-34.902161;137.82333333333332;114.2233333333333;129.5566666666667;131.22333333333341;124.49000000000001;134.1566666666667;"(37,2)";"(188,2)";"(376,4)";-8.060679768260092;-34.9052372227484;0.3546818243783338;376;4
-8.070114;-34.889782;111.83000000000001;136.93;127.21000000000001;117.11000000000001;116.23;130.35000000000002;"(17,35)";"(83,173)";"(166,343)";-8.07011228135032;-34.8898581493336;0.00838811396513831;166;343
-8.069986;-34.900864;131.6233333333333;129.9566666666667;118.29;125.2566666666667;136.1566666666667;132.0233333333333;"(14,3)";"(68,14)";"(136,28)";-8.071459783220353;-34.90414843118732;0.3971091143848597;136;28
-8.072631;-34.894756;101.49000000000001;121.19;108.84;111.29;114.59;134.09;"(11,23)";"(52,109)";"(104,218)";-8.072897118548388;-34.89552882973915;0.0901075043784537;104;218
-8.066118;-34.888939;124.89;135.09;126.99000000000001;123.1233333333333;105.4233333333333;141.4233333333333;"(26,38)";"(130,191)";"(260,382)";-8.065890108824219;-34.88808905661314;0.09697224479852089;260;382
-8.06635;-34.896816;128.1233333333333;99.79;122.15666666666671;112.85666666666671;124.79;91.6233333333333;"(27,19)";"(136,93)";"(271,185)";-8.065396024805207;-34.89702607299377;0.10859989494510848;271;185
